Family APG2,FAMFOSTER,FamCroat,Genus,Prefix,Species,Author,v/s,Varsub,Varsubauth,chg,catpan,chg2,SYNONYMS,Voucher spec,Syn ref,Syn_notes,For/Mar_RF,LF_RF,BCI_STAT,BCI cult,,
Hymenophyllaceae,~Pteridophyta,Hymenophyllaceae,Trichomanes,,anadromum,Rosenst.,,,,det. (id?),,,"Trichomanes polypodioides L. sensu Croat (1978); Trichomanes pinnatifidum Bosch sensu Pacheco dets (TROPICOS, 1988)$$",Croat 11232$$ needs more explan'n,"Pacheco, L. 1995 (Fl Meso 1)",Pacheco notes that Trichomanes anadromum was previously confused with T. polypodioides. The latter occurs at higher elevations. The BCI specimens at MO were det. by Pacheco in 1988 as T. pinnatifidum which is not mentioned in Fl Meso; presumably the name T. anadromum was later applied to the BCI species.,F,E,,,,
Hymenophyllaceae,~Pteridophyta,Hymenophyllaceae,Trichomanes,,diversifrons,(Bory) Mett. ex Sadeb.,,,,,,,,,,,F,H,,,,
Hymenophyllaceae,~Pteridophyta,Hymenophyllaceae,Trichomanes,,pinnatum,Hedw.,,,,,,,,,,,F,H,,,,
Tectariaceae,~Pteridophyta,Polypodiaceae,Triplophyllum,,funestum,(Kunze) Holttum,,,,syn. (-),,,"Ctenitis protensa var. funesta (Kunze) Proctor sensu Croat (1978), in part",Croat 8357 (MO: det. R.Moran & A.Smith 1995,"Moran, R. & A. Smith 1995 (Fl Meso 1)",,F,E,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Vittaria,,graminifolia,Kaulf.,,,,,,,,,,,F,E,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Vittaria,,lineata,(L.) Sm.,,,,,,,,,,,F,E,,,,
Acanthaceae,Acanthaceae,Acanthaceae,Aphelandra,,sinclairiana,Nees,,,,,,,,,,,F,S,,,,
Acanthaceae,Acanthaceae,Acanthaceae,Blechum,,costaricense,Oerst.,,,,,,,,,,,F,H,,,,
Acanthaceae,Acanthaceae,Acanthaceae,Blechum,,pyramidatum,(Lam.) Urb.,,,,syn.,,,Blechum brownei Juss.  ,,"Durkee, L. 2001 (Fl Nic); Wasshausen, D. 1995 (Fl Ven Guay 2)",,M,Hw,,,,
Acanthaceae,Acanthaceae,Acanthaceae,Elytraria,,imbricata,(Vahl) Pers.,,,,,,,    ,,,,M,Hw,,,,
Acanthaceae,Acanthaceae,Acanthaceae,Herpetacanthus,,panamensis,Leonard,,,,,,,    ,,,,F,H,,,,
