Euphorbiaceae		<i>Croton&nbsp;billbergianus</i>	<i>Croton&nbsp;billbergianus</i>	<i>Croton&nbsp;billbergianus</i>	<i>Croton&nbsp;billbergianus</i>	Does&nbsp;not&nbsp;appear	
Euphorbiaceae	*	<i>Hieronyma&nbsp;alchorneoides</i>	<i>Hyeronima&nbsp;laxiflora</i>	<i>Hyeronima&nbsp;laxiflora</i>	<i>Hyeronima&nbsp;alchorneoides</i>	Does&nbsp;not&nbsp;appear	
Euphorbiaceae		<i>Hura&nbsp;crepitans</i>	<i>Hura&nbsp;crepitans</i>	<i>Hura&nbsp;crepitans</i>	<i>Hura&nbsp;crepitans</i>	<i>Hura&nbsp;crepitans</i>	
Euphorbiaceae		<i>Sapium&nbsp;broadleaf</i>	<i>Sapium&nbsp;broadleaf</i>	<i>Sapium&nbsp;broadleaf</i>	<i>Sapium&nbsp;sp.&nbsp;nov.</i>	<i>Sapium&nbsp;sp&nbsp;1</i>	
Euphorbiaceae	*	<i>Sapium&nbsp;glandulosum</i>	<i>Sapium&nbsp;caudatum</i>	<i>Sapium&nbsp;caudatum</i>	<i>Sapium&nbsp;aucuparium</i>	Does&nbsp;not&nbsp;appear	
Fabaceae	*	<i>Vachellia&nbsp;melanoceras</i>	<i>Acacia&nbsp;melanoceras</i>	<i>Acacia&nbsp;melanoceras</i>	<i>Acacia&nbsp;melanoceras</i>	<i>Acacia&nbsp;melanoceras</i>	
Fabaceae-caesalpinioideae		<i>Prioria&nbsp;copaifera</i>	<i>Prioria&nbsp;copaifera</i>	<i>Prioria&nbsp;copaifera</i>	<i>Prioria&nbsp;copaifera</i>	Does&nbsp;not&nbsp;appear	
Fabaceae-caesalpinioideae	*	<i>Schizolobium&nbsp;parahyba</i>	<i>Schizolobium&nbsp;parahybum</i>	<i>Schizolobium&nbsp;parahybum</i>	<i>Schizolobium&nbsp;parahybum</i>	Does&nbsp;not&nbsp;appear	
Fabaceae-caesalpinioideae	*	<i>Senna&nbsp;dariensis</i>	<i>Cassia&nbsp;fruticosa</i>	<i>Cassia&nbsp;fruticosa</i>	<i>Senna&nbsp;dariensis</i>	<i>Senna&nbsp;dariensis</i>	
Fabaceae-caesalpinioideae	*	<i>Tachigali&nbsp;panamensis</i>	<i>Tachigalia&nbsp;versicolor</i>	<i>Tachigalia&nbsp;versicolor</i>	<i>Tachigalia&nbsp;versicolor</i>	<i>Tachigalia&nbsp;versicolor</i>	
Fabaceae-mimosoideae	*	<i>Abarema&nbsp;macradenia</i>	<i>Pithecellobium&nbsp;macradenium</i>	<i>Pithecellobium&nbsp;macradenium</i>	<i>Pithecellobium&nbsp;macradenium</i>	Does&nbsp;not&nbsp;appear	
Fabaceae-mimosoideae	*	<i>Cojoba&nbsp;rufescens</i>	<i>Pithecellobium&nbsp;rufescens</i>	<i>Pithecellobium&nbsp;rufescens</i>	<i>Pithecellobium&nbsp;rufescens</i>	<i>Cojoba&nbsp;rufescens</i>	
Fabaceae-mimosoideae		<i>Enterolobium&nbsp;schomburgkii</i>	<i>Enterolobium&nbsp;schomburgkii</i>	<i>Enterolobium&nbsp;schomburgkii</i>	<i>Enterolobium&nbsp;schomburgkii</i>	Does&nbsp;not&nbsp;appear	
Fabaceae-mimosoideae	*	<i>Inga&nbsp;acuminata</i>	Does&nbsp;not&nbsp;appear	<i>Inga&nbsp;skinny</i>	<i>Inga&nbsp;acuminata</i>	Does&nbsp;not&nbsp;appear	
Fabaceae-mimosoideae		<i>Inga&nbsp;cocleensis</i>	<i>Inga&nbsp;cocleensis</i>	<i>Inga&nbsp;cocleensis</i>	<i>Inga&nbsp;cocleensis</i>	<i>Inga&nbsp;cocleensis</i>	
Fabaceae-mimosoideae		<i>Inga&nbsp;goldmanii</i>	<i>Inga&nbsp;goldmanii</i>	<i>Inga&nbsp;goldmanii</i>	<i>Inga&nbsp;goldmanii</i>	<i>Inga&nbsp;goldmanii</i>	
Fabaceae-mimosoideae	*	<i>Inga&nbsp;laurina</i>	<i>Inga&nbsp;fagifolia</i>	<i>Inga&nbsp;fagifolia</i>	<i>Inga&nbsp;fagifolia</i>	<i>Inga&nbsp;laurina</i>	
Fabaceae-mimosoideae		<i>Inga&nbsp;marginata</i>	<i>Inga&nbsp;marginata</i>	<i>Inga&nbsp;marginata</i>	<i>Inga&nbsp;marginata</i>	Does&nbsp;not&nbsp;appear	
Fabaceae-mimosoideae		<i>Inga&nbsp;mucuna</i>	<i>Inga&nbsp;mucuna</i>	<i>Inga&nbsp;mucuna</i>	<i>Inga&nbsp;mucuna</i>	Does&nbsp;not&nbsp;appear	
Fabaceae-mimosoideae	*	<i>Inga&nbsp;nobilis</i>	<i>Inga&nbsp;quaternata</i>	<i>Inga&nbsp;quaternata</i>	<i>Inga&nbsp;quaternata</i>	<i>Inga&nbsp;nobilis</i>	
Fabaceae-mimosoideae	*	<i>Inga&nbsp;oerstediana</i>	<i>Inga&nbsp;minutula</i>	<i>Inga&nbsp;minutula</i>	<i>Inga&nbsp;minutula</i>	Does&nbsp;not&nbsp;appear	
Fabaceae-mimosoideae		<i>Inga&nbsp;pezizifera</i>	<i>Inga&nbsp;pezizifera</i>	<i>Inga&nbsp;pezizifera</i>	<i>Inga&nbsp;pezizifera</i>	<i>Inga&nbsp;pezizifera</i>	
Fabaceae-mimosoideae		<i>Inga&nbsp;punctata</i>	<i>Inga&nbsp;punctata</i>	<i>Inga&nbsp;punctata</i>	<i>Inga&nbsp;punctata</i>	<i>Inga&nbsp;punctata</i>	
Fabaceae-mimosoideae		<i>Inga&nbsp;ruiziana</i>	<i>Inga&nbsp;ruiziana</i>	<i>Inga&nbsp;ruiziana</i>	<i>Inga&nbsp;ruiziana</i>	Does&nbsp;not&nbsp;appear	
Fabaceae-mimosoideae		<i>Inga&nbsp;sapindoides</i>	<i>Inga&nbsp;sapindoides</i>	<i>Inga&nbsp;sapindoides</i>	<i>Inga&nbsp;sapindoides</i>	Does&nbsp;not&nbsp;appear	
Fabaceae-mimosoideae		<i>Inga&nbsp;spectabilis</i>	<i>Inga&nbsp;spectabilis</i>	<i>Inga&nbsp;spectabilis</i>	<i>Inga&nbsp;spectabilis</i>	<i>Inga&nbsp;spectabilis</i>	
Fabaceae-mimosoideae		<i>Inga&nbsp;thibaudiana</i>	<i>Inga&nbsp;thibaudiana</i>	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	Does&nbsp;not&nbsp;appear	
Fabaceae-mimosoideae		<i>Inga&nbsp;umbellifera</i>	<i>Inga&nbsp;umbellifera</i>	<i>Inga&nbsp;umbellifera</i>	<i>Inga&nbsp;umbellifera</i>	Does&nbsp;not&nbsp;appear	
Fabaceae-mimosoideae		<i>Inga&nbsp;unidentified</i>	<i>Inga&nbsp;unidentified</i>	<i>Inga&nbsp;unidentified</i>	<i>Inga&nbsp;unidentified</i>	<i>Inga&nbsp;unidentified</i>	
