"sp6","sp6curr","sp6prior","sp4","Current_order","Current_family","Current_name","Current_name_author","synonyms","vouchers","habit","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_family","currnamechanged","sp6changed","acceptednamedif","notes","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"coccco","coccco","coccco","COCC","Caryophyllales","Polygonaceae","Coccoloba coronata","Jacq.",NA,NA,"Freestanding","Coccoloba coronata","Jacq.","species","Polygonaceae",FALSE,FALSE,FALSE,NA,"Coccoloba coronata",4033276,"Coccoloba coronata-COCCCO-COCC"
"coccda","coccda",NA,NA,"Caryophyllales","Polygonaceae","Coccoloba darienensis","R.A. Howard",NA,NA,"Freestanding","Coccoloba darienensis","R.A.Howard","species","Polygonaceae",FALSE,NA,FALSE,NA,"Coccoloba darienensis",4032994,"Coccoloba darienensis-COCCDA"
"coccex","coccex",NA,"COCP","Caryophyllales","Polygonaceae","Coccoloba excelsa","Benth.","Coccoloba parimensis","R. Pérez 2011 y 2017 (PMA, SCZ)","Climbing","Coccoloba excelsa","Benth.","species","Polygonaceae",FALSE,NA,FALSE,NA,"Coccoloba excelsa",7291174,"Coccoloba excelsa-COCCEX-COCP"
"coccfl","coccfl",NA,NA,"Caryophyllales","Polygonaceae","Coccoloba floribunda","Lindau",NA,NA,"Freestanding","Coccoloba floribunda","(Benth.) Lindau","species","Polygonaceae",FALSE,NA,FALSE,NA,"Coccoloba floribunda",4032567,"Coccoloba floribunda-COCCFL"
"coccge","coccge",NA,NA,"Caryophyllales","Polygonaceae","Coccoloba gentryi","R.A. Howard",NA,NA,"Freestanding","Coccoloba gentryi","R.A.Howard","species","Polygonaceae",FALSE,NA,FALSE,NA,"Coccoloba gentryi",4032463,"Coccoloba gentryi-COCCGE"
"cocchi","cocchi",NA,NA,"Caryophyllales","Polygonaceae","Coccoloba hirtella","Lundell",NA,NA,"Freestanding","Coccoloba hirtella","Lundell","species","Polygonaceae",FALSE,NA,FALSE,NA,"Coccoloba hirtella",4038517,"Coccoloba hirtella-COCCHI"
"coccjo","coccjo","coccjo","COC1","Caryophyllales","Polygonaceae","Coccoloba johnstonii","R.A. Howard",NA,NA,"Freestanding","Coccoloba johnstonii","R.A.Howard","species","Polygonaceae",FALSE,FALSE,FALSE,NA,"Coccoloba johnstonii",4038317,"Coccoloba johnstonii-COCCJO-COC1"
"coccla","coccla","coccla",NA,"Caryophyllales","Polygonaceae","Coccoloba lasseri","Lundell",NA,"R. Pérez 1452","Freestanding","Coccoloba lasseri","Lundell","species","Polygonaceae",FALSE,FALSE,FALSE,NA,"Coccoloba lasseri",4038184,"Coccoloba lasseri-COCCLA"
"coccle","coccle",NA,NA,"Caryophyllales","Polygonaceae","Coccoloba lehmannii","Lindau",NA,NA,"Freestanding","Coccoloba lehmannii","Lindau","species","Polygonaceae",FALSE,NA,FALSE,NA,"Coccoloba lehmannii",4038099,"Coccoloba lehmannii-COCCLE"
NA,NA,NA,NA,"Caryophyllales","Polygonaceae","Coccoloba liportizii","Gómez-Laur. & N. Zamora",NA,NA,"Freestanding","Coccoloba liportizii","Gómez-Laur. & N.Zamora","species","Polygonaceae",FALSE,NA,FALSE,NA,"Coccoloba liportizii",4037932,"Coccoloba liportizii"
"coccma","coccma","coccma","COCM","Caryophyllales","Polygonaceae","Coccoloba manzinellensis","Beurl.",NA,"R. Pérez 1961","Freestanding","Coccoloba manzinellensis","Beurl.","species","Polygonaceae",FALSE,FALSE,FALSE,NA,"Coccoloba manzinellensis",4037724,"Coccoloba manzinellensis-COCCMA-COCM"
"coccmo","coccmo","coccmo",NA,"Caryophyllales","Polygonaceae","Coccoloba mollis","Casar.",NA,NA,"Freestanding","Coccoloba mollis","Casar.","species","Polygonaceae",FALSE,FALSE,FALSE,NA,"Coccoloba mollis",4037525,"Coccoloba mollis-COCCMO"
"coccob","coccob","coccob",NA,"Caryophyllales","Polygonaceae","Coccoloba obovata","Kunth",NA,NA,"Freestanding","Coccoloba obovata","Kunth","species","Polygonaceae",FALSE,FALSE,FALSE,NA,"Coccoloba obovata",4037016,"Coccoloba obovata-COCCOB"
"coccpa","coccpa","coccpa",NA,"Caryophyllales","Polygonaceae","Coccoloba padiformis","Meisn.",NA,NA,"Freestanding","Coccoloba padiformis","Meisn.","species","Polygonaceae",FALSE,FALSE,FALSE,NA,"Coccoloba padiformis",4036806,"Coccoloba padiformis-COCCPA"
"coccpo","coccpo",NA,NA,"Caryophyllales","Polygonaceae","Coccoloba porphyrostachys","Gómez-Laur.",NA,NA,"Freestanding","Coccoloba porphyrostachys","Gómez-Laur.","species","Polygonaceae",FALSE,NA,FALSE,NA,"Coccoloba porphyrostachys",4036240,"Coccoloba porphyrostachys-COCCPO"
"cocctu","cocctu","cocctu",NA,"Caryophyllales","Polygonaceae","Coccoloba tuerckheimii","Donn. Sm.",NA,"D. Luque 370","Freestanding","Coccoloba tuerckheimii","Donn.Sm.","species","Polygonaceae",FALSE,FALSE,FALSE,NA,"Coccoloba tuerckheimii",4034901,"Coccoloba tuerckheimii-COCCTU"
