"sp6","sp6curr","sp6prior","sp4","Current_order","Current_family","Current_name","Current_name_author","synonyms","vouchers","habit","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_family","currnamechanged","sp6changed","acceptednamedif","notes","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"geniam","geniam","geniam","GENA","Gentianales","Rubiaceae","Genipa americana","L.",NA,"R. Pérez 1899","Freestanding","Genipa americana","L.","species","Rubiaceae",FALSE,FALSE,FALSE,NA,"Genipa americana",2895593,"Genipa americana-GENIAM-GENA"
"geoncu","geoncu","geoncu","GEOC","Arecales","Arecaceae","Geonoma cuneata","H. Wendl. ex Spruce",NA,NA,"Freestanding","Geonoma cuneata","H.Wendl. ex Spruce","species","Arecaceae",FALSE,FALSE,FALSE,NA,"Geonoma cuneata",2734082,"Geonoma cuneata-GEONCU-GEOC"
"geonin","geonin","geonin","GEOI","Arecales","Arecaceae","Geonoma interrupta","(Ruiz & Pav.) Mart.",NA,NA,"Freestanding","Geonoma interrupta","(Ruiz & Pav.) Mart.","species","Arecaceae",FALSE,FALSE,FALSE,NA,"Geonoma interrupta",2734323,"Geonoma interrupta-GEONIN-GEOI"
"glirse","glirse","glirse",NA,"Fabales","Fabaceae","Gliricidia sepium","(Jacq.) Kunth",NA,NA,"Freestanding","Gliricidia sepium","(Jacq.) Kunth","species","Fabaceae",FALSE,FALSE,FALSE,NA,"Gliricidia sepium",8082978,"Gliricidia sepium-GLIRSE"
"gon1al","gon1al",NA,"GONA","Gentianales","Apocynaceae","Gonolobus albomarginatus","(Pittier) Woodson","Gonolobus allenii",NA,"Climbing","Gonolobus albomarginatus","(Pittier) Woodson","species","Apocynaceae",FALSE,NA,FALSE,NA,"Gonolobus albomarginatus",3572413,"Gonolobus albomarginatus-GON1AL-GONA"
"gon1in","gon1in",NA,NA,"Gentianales","Apocynaceae","Gonolobus inaequalis","L.O. Williams",NA,NA,"Climbing","Gonolobus inaequalis","L.O.Williams","species","Apocynaceae",FALSE,NA,FALSE,NA,"Gonolobus inaequalis",3582509,"Gonolobus inaequalis-GON1IN"
"gouaco","gouaco",NA,"GOUC","Rosales","Rhamnaceae","Gouania colombiana","Suess.",NA,NA,"Climbing","Gouania colombiana","Suess.","species","Rhamnaceae",FALSE,NA,FALSE,NA,"Gouania colombiana",5603088,"Gouania colombiana-GOUACO-GOUC"
"goualu","goualu",NA,"GOUL","Rosales","Rhamnaceae","Gouania lupuloides","(L.) Urb.",NA,"R. Pérez 2143 (PMA, SCZ)","Climbing","Gouania lupuloides","(L.) Urb.","species","Rhamnaceae",FALSE,NA,FALSE,NA,"Gouania lupuloides",5372440,"Gouania lupuloides-GOUALU-GOUL"
"gouapo","gouapo",NA,"GOUP","Rosales","Rhamnaceae","Gouania polygama","(Jacq.) Urb.",NA,NA,"Climbing","Gouania polygama","(Jacq.) Urb.","species","Rhamnaceae",FALSE,NA,FALSE,NA,"Gouania polygama",5372439,"Gouania polygama-GOUAPO-GOUP"
"griaca","griaca","griaca","GRIF","Ericales","Lecythidaceae","Grias cauliflora","L.","Grias fendleri",NA,"Freestanding","Grias cauliflora","L.","species","Lecythidaceae",FALSE,FALSE,FALSE,NA,"Grias cauliflora",3082334,"Grias cauliflora-GRIACA-GRIF"
"guapst","guapst",NA,"GUAS","Caryophyllales","Nyctaginaceae","Guapira myrtiflora","(Standl.) Little","Guapira standleyana","R. Pérez 1891","Freestanding","Guapira myrtiflora","(Standl.) Little","species","Nyctaginaceae",FALSE,NA,FALSE,NA,"Guapira myrtiflora",3701155,"Guapira myrtiflora-GUAPST-GUAS"
