taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit
Miconia minutiflora-MICOBO-MICB,10932080,Miconia minutiflora,Freestanding
Miconia nervosa-MICONE-MICN,3859839,Miconia nervosa,Freestanding
Miconia octona-CLIDOC-CLIO,10699427,Miconia octona,Freestanding
Miconia prasina-MICOPR-MICP,3188562,Miconia prasina,Freestanding
Miconia purpureoviolacea-CLIDDI-CLIP,10800391,Miconia purpureoviolacea,Freestanding
Miconia quinquenervia-OSSQ,7428033,Miconia quinquenervia,Freestanding
Miconia rufostellulata-MICOR1,3868203,Miconia rufostellulata,Freestanding
Miconia shattuckii-MICOSH-MIC7,3866811,Miconia shattuckii,Freestanding
Miconia sulcicaulis-LEANDI-LEAD,10839238,Miconia sulcicaulis,Freestanding
Miconia xalapensis-CONOXA,3862726,Miconia xalapensis,Freestanding
Moquilea platypus-LICAPL-LICP,2985306,Moquilea platypus,Freestanding
Morinda seibertii-APPUSE-APPS,3848264,Appunia seibertii,Freestanding
Morisonia,3054275,Morisonia,Freestanding
Morisonia frondosa-CAPPFR-CAPF,6069332,Capparidastrum frondosum,Freestanding
Mosannona garwoodii-MALMSP-CRES,3648797,Mosannona garwoodiae,Freestanding
Mosquitoxylum jamaicense-MOSQJA-MOSJ,7321670,Mosquitoxylum jamaicense,Freestanding
Mouriri myrtilloides-MOURMY-MOUM,3870233,Mouriri myrtilloides,Freestanding
Muntingia calabura-MUNTCA-MUNC,3152036,Muntingia calabura,Freestanding
Myrcia fosteri-MYRCFO-MYR1,3174678,Myrcia fosteri,Freestanding
Myrcia splendens-MYRCGA-MYRG,3174691,Myrcia splendens,Freestanding
Myriocarpa longipes-MYRILO-MYRY,7300750,Myriocarpa longipes,Freestanding
Myrospermum frutescens-MYROFR-MYR2,2976681,Myrospermum frutescens,Freestanding
Nectandra cissiflora-NECTCI-NECC,5685370,Nectandra cissiflora,Freestanding
Nectandra lineata-NECTGL-NECL,5685105,Nectandra lineata,Freestanding
Nectandra-NECTS1,3034018,Nectandra,Freestanding
Neea amplifolia-NEEAAM-NEEA,3700440,Neea amplifolia,Freestanding
Neea urophylla,3700440,Neea amplifolia,Freestanding
Neea-NEEA6,3086079,Neea,Freestanding
